
# Surface 0 of 1 surfaces

# Curve title: "'./Scan/propanol/0-1-6-10-11/RIMP2/scanw.txt' u 1:2:($3-w)"
# IsoCurve 0, 35 points
# x y z type
 180  210  1.27352 o
 180  225  1.74989 o
 180  240  1.9226 o
 180  255  1.66198 o

# IsoCurve 6, 35 points
# x y z type
 165 -255  1.93403 o
 165 -240  2.20127 o
 165 -225  2.04741 o
 165 -210  1.60663 o
 165 -195  1.1912 o
 165 -180  1.08329 i
 165 -165  1.37969 i
 165 -150  1.94909 i
 165 -135  2.49493 i
 165 -120  2.70784 i
 165 -105  2.45879 i
 165 -90  1.90151 i
 165 -75  1.37501 i
 165 -60  1.18772 i
 165 -45  1.44764 i
 165 -30  2.00805 i
 165 -15  2.5402 i
 165  0  2.71219 i
 165  15  2.3914 i
 165  30  1.73366 i
 165  45  1.08589 i
 165  60  0.768605 i
 165  75  0.908306 i
 165  90  1.39452 i
 165  105  1.93403 i
 165  120  2.20127 i
 165  135  2.04741 i
 165  150  1.60663 i
 165  165  1.1912 i
 165  180  1.08329 i
 165  195  1.37969 o
 165  210  1.94909 o
 165  225  2.49493 o
 165  240  2.70784 o
 165  255  2.45879 o

# IsoCurve 7, 35 points
# x y z type
 150 -255  3.12469 o
 150 -240  3.39971 o
 150 -225  3.24358 o
 150 -210  2.79145 o
 150 -195  2.37421 o
 150 -180  2.29375 i
 150 -165  2.6498 i
 150 -150  3.29473 i
 150 -135  3.90877 i
 150 -120  4.16554 i
 150 -105  3.93252 i
 150 -90  3.37333 i
 150 -75  2.84454 i
 150 -60  2.67111 i
 150 -45  2.9623 i
 150 -30  3.55085 i
 150 -15  4.08234 i
 150  0  4.2178 i
 150  15  3.83307 i
 150  30  3.09793 i
 150  45  2.376 i
 150  60  2.00178 i
 150  75  2.10728 i
 150  90  2.58108 i
 150  105  3.12469 i
 150  120  3.39971 i
 150  135  3.24359 i
 150  150  2.79145 i
 150  165  2.37421 i
 150  180  2.29375 i
 150  195  2.6498 o
 150  210  3.29473 o
 150  225  3.90877 o
 150  240  4.16554 o
 150  255  3.93252 o

# IsoCurve 8, 35 points
# x y z type
 135 -255  4.59566 o
 135 -240  4.87688 o
 135 -225  4.70158 o
 135 -210  4.1986 o
 135 -195  3.71442 o
 135 -180  3.57992 i
 135 -165  3.91615 i
 135 -150  4.57353 i
 135 -135  5.21248 i
 135 -120  5.48749 i
 135 -105  5.26197 i
 135 -90  4.70861 i
 135 -75  4.19594 i
 135 -60  4.05558 i
 135 -45  4.40923 i
 135 -30  5.08269 i
 135 -15  5.69311 i
 135  0  5.87184 i
 135  15  5.48269 i
 135  30  4.70162 i
 135  45  3.91497 i
 135  60  3.48729 i
 135  75  3.56644 i
 135  90  4.03957 i
 135  105  4.59566 i
 135  120  4.87688 i
 135  135  4.70158 i
 135  150  4.1986 i
 135  165  3.71442 i
 135  180  3.57992 i
 135  195  3.91615 o
 135  210  4.57353 o
 135  225  5.21248 o
 135  240  5.48749 o
 135  255  5.26197 o

# IsoCurve 9, 35 points
# x y z type
 120 -255  5.46684 o
 120 -240  5.74461 o
 120 -225  5.5398 o
 120 -210  4.97265 o
 120 -195  4.39184 o
 120 -180  4.14731 i
 120 -165  4.38807 i
 120 -150  4.98142 i
 120 -135  5.58481 i
 120 -120  5.84172 i
 120 -105  5.61146 i
 120 -90  5.06841 i
 120 -75  4.57813 i
 120 -60  4.47126 i
 120 -45  4.87316 i
 120 -30  5.62751 i
 120 -15  6.35146 i
 120  0  6.64911 i
 120  15  6.34883 i
 120  30  5.60428 i
 120  45  4.80706 i
 120  60  4.35407 i
 120  75  4.42207 i
 120  90  4.90129 i
 120  105  5.46684 i
 120  120  5.74461 i
 120  135  5.5398 i
 120  150  4.97265 i
 120  165  4.39184 i
 120  180  4.14731 i
 120  195  4.38807 o
 120  210  4.98142 o
 120  225  5.58481 o
 120  240  5.84172 o
 120  255  5.61146 o

# IsoCurve 10, 35 points
# x y z type
 105 -255  5.12018 o
 105 -240  5.38817 o
 105 -225  5.15998 o
 105 -210  4.55105 o
 105 -195  3.89946 o
 105 -180  3.55137 i
 105 -165  3.67353 i
 105 -150  4.16196 i
 105 -135  4.69501 i
 105 -120  4.92131 i
 105 -105  4.69437 i
 105 -90  4.17682 i
 105 -75  3.7183 i
 105 -60  3.63023 i
 105 -45  4.03852 i
 105 -30  4.80557 i
 105 -15  5.57597 i
 105  0  5.96267 i
 105  15  5.77619 i
 105  30  5.13629 i
 105  45  4.40589 i
 105  60  3.98168 i
 105  75  4.06327 i
 105  90  4.5522 i
 105  105  5.12018 i
 105  120  5.38817 i
 105  135  5.15998 i
 105  150  4.55105 i
 105  165  3.89946 i
 105  180  3.55137 i
 105  195  3.67353 o
 105  210  4.16196 o
 105  225  4.69502 o
 105  240  4.92131 o
 105  255  4.69437 o

# IsoCurve 11, 35 points
# x y z type
 90 -255  3.68115 o
 90 -240  3.94791 o
 90 -225  3.72468 o
 90 -210  3.1248 o
 90 -195  2.46899 o
 90 -180  2.083 i
 90 -165  2.12975 i
 90 -150  2.52967 i
 90 -135  2.99724 i
 90 -120  3.20554 i
 90 -105  3.00677 i
 90 -90  2.54146 i
 90 -75  2.13211 i
 90 -60  2.06871 i
 90 -45  2.45962 i
 90 -30  3.1739 i
 90 -15  3.88606 i
 90  0  4.2445 i
 90  15  4.07993 i
 90  30  3.50666 i
 90  45  2.85789 i
 90  60  2.49644 i
 90  75  2.61123 i
 90  90  3.11248 i
 90  105  3.68115 i
 90  120  3.94791 i
 90  135  3.72468 i
 90  150  3.1248 i
 90  165  2.46899 i
 90  180  2.083 i
 90  195  2.12975 o
 90  210  2.52967 o
 90  225  2.99724 o
 90  240  3.20554 o
 90  255  3.00677 o

# IsoCurve 12, 35 points
# x y z type
 75 -255  2.01249 o
 75 -240  2.28703 o
 75 -225  2.09809 o
 75 -210  1.55936 o
 75 -195  0.974951 o
 75 -180  0.644179 i
 75 -165  0.706171 i
 75 -150  1.07942 i
 75 -135  1.50523 i
 75 -120  1.69265 i
 75 -105  1.51366 i
 75 -90  1.10405 i
 75 -75  0.771718 i
 75 -60  0.779977 i
 75 -45  1.19686 i
 75 -30  1.85737 i
 75 -15  2.44253 i
 75  0  2.64664 i
 75  15  2.37107 i
 75  30  1.75683 i
 75  45  1.12676 i
 75  60  0.805009 i
 75  75  0.944332 i
 75  90  1.44855 i
 75  105  2.01249 i
 75  120  2.28703 i
 75  135  2.09809 i
 75  150  1.55936 i
 75  165  0.974951 i
 75  180  0.644179 i
 75  195  0.706171 o
 75  210  1.07942 o
 75  225  1.50523 o
 75  240  1.69265 o
 75  255  1.51366 o

# IsoCurve 13, 35 points
# x y z type
 60 -255  1.18364 o
 60 -240  1.46424 o
 60 -225  1.31148 o
 60 -210  0.84535 o
 60 -195  0.366582 o
 60 -180  0.153766 i
 60 -165  0.313925 i
 60 -150  0.739465 i
 60 -135  1.16569 i
 60 -120  1.31975 i
 60 -105  1.10456 i
 60 -90  0.682657 i
 60 -75  0.38053 i
 60 -60  0.475174 i
 60 -45  0.998739 i
 60 -30  1.71692 i
 60 -15  2.26201 i
 60  0  2.31922 i
 60  15  1.84208 i
 60  30  1.05705 i
 60  45  0.344008 i
 60  60  1.19023e-11 i
 60  75  0.134533 i
 60  90  0.628823 i
 60  105  1.18364 i
 60  120  1.46424 i
 60  135  1.31148 i
 60  150  0.84535 i
 60  165  0.366582 i
 60  180  0.153766 i
 60  195  0.313925 o
 60  210  0.739465 o
 60  225  1.1657 o
 60  240  1.31975 o
 60  255  1.10456 o

# IsoCurve 14, 35 points
# x y z type
 45 -255  1.77566 o
 45 -240  2.08736 o
 45 -225  1.97037 o
 45 -210  1.54637 o
 45 -195  1.12825 o
 45 -180  1.00058 i
 45 -165  1.25831 i
 45 -150  1.76756 i
 45 -135  2.23735 i
 45 -120  2.38021 i
 45 -105  2.10365 i
 45 -90  1.59643 i
 45 -75  1.22665 i
 45 -60  1.3174 i
 45 -45  1.91944 i
 45 -30  2.75768 i
 45 -15  3.38907 i
 45  0  3.47328 i
 45  15  2.92424 i
 45  30  1.97643 i
 45  45  1.08885 i
 45  60  0.632546 i
 45  75  0.717996 i
 45  90  1.20442 i
 45  105  1.77566 i
 45  120  2.08736 i
 45  135  1.97037 i
 45  150  1.54637 i
 45  165  1.12825 i
 45  180  1.00058 i
 45  195  1.25831 o
 45  210  1.76756 o
 45  225  2.23735 o
 45  240  2.38021 o
 45  255  2.10365 o

# IsoCurve 15, 35 points
# x y z type
 30 -255  3.45954 o
 30 -240  3.83201 o
 30 -225  3.76608 o
 30 -210  3.36494 o
 30 -195  2.94947 o
 30 -180  2.82965 i
 30 -165  3.11559 i
 30 -150  3.66687 i
 30 -135  4.17239 i
 30 -120  4.32336 i
 30 -105  4.01577 i
 30 -90  3.44301 i
 30 -75  2.98583 i
 30 -60  2.99879 i
 30 -45  3.58834 i
 30 -30  4.49802 i
 30 -15  5.23837 i
 30  0  5.41258 i
 30  15  4.92562 i
 30  30  3.98805 i
 30  45  2.99802 i
 30  60  2.40054 i
 30  75  2.38964 i
 30  90  2.85363 i
 30  105  3.45954 i
 30  120  3.83201 i
 30  135  3.76608 i
 30  150  3.36494 i
 30  165  2.94947 i
 30  180  2.82965 i
 30  195  3.11559 o
 30  210  3.66687 o
 30  225  4.17239 o
 30  240  4.32336 o
 30  255  4.01577 o

# IsoCurve 16, 35 points
# x y z type
 15 -255  5.2989 o
 15 -240  5.70052 o
 15 -225  5.66314 o
 15 -210  5.2676 o
 15 -195  4.8298 o
 15 -180  4.67262 i
 15 -165  4.92568 i
 15 -150  5.45505 i
 15 -135  5.94123 i
 15 -120  6.06893 i
 15 -105  5.74018 i
 15 -90  5.15639 i
 15 -75  4.68692 i
 15 -60  4.65743 i
 15 -45  5.19022 i
 15 -30  6.09605 i
 15 -15  6.91017 i
 15  0  7.17838 i
 15  15  6.76372 i
 15  30  5.89143 i
 15  45  4.95685 i
 15  60  4.33633 i
 15  75  4.26483 i
 15  90  4.68968 i
 15  105  5.2989 i
 15  120  5.70052 i
 15  135  5.66314 i
 15  150  5.2676 i
 15  165  4.8298 i
 15  180  4.67262 i
 15  195  4.92568 o
 15  210  5.45505 o
 15  225  5.94123 o
 15  240  6.06893 o
 15  255  5.74018 o

# IsoCurve 17, 35 points
# x y z type
 0 -255  6.25801 o
 0 -240  6.6308 o
 0 -225  6.56114 o
 0 -210  6.1307 o
 0 -195  5.65515 o
 0 -180  5.44963 i
 0 -165  5.65467 i
 0 -150  6.13231 i
 0 -135  6.56272 i
 0 -120  6.63242 i
 0 -105  6.25941 i
 0 -90  5.66967 i
 0 -75  5.24254 i
 0 -60  5.26891 i
 0 -45  5.81199 i
 0 -30  6.69957 i
 0 -15  7.54118 i
 0  0  7.88847 i
 0  15  7.54105 i
 0  30  6.69955 i
 0  45  5.81233 i
 0  60  5.26863 i
 0  75  5.24283 i
 0  90  5.66954 i
 0  105  6.25801 i
 0  120  6.6308 i
 0  135  6.56114 i
 0  150  6.1307 i
 0  165  5.65515 i
 0  180  5.44963 i
 0  195  5.65467 o
 0  210  6.13231 o
 0  225  6.56272 o
 0  240  6.63242 o
 0  255  6.25941 o

# IsoCurve 18, 35 points
# x y z type
-15 -255  5.74021 o
-15 -240  6.06932 o
-15 -225  5.94249 o
-15 -210  5.45497 o
-15 -195  4.92567 o
-15 -180  4.67384 i
-15 -165  4.82946 i
-15 -150  5.26727 i
-15 -135  5.66296 i
-15 -120  5.70052 i
-15 -105  5.29897 i
-15 -90  4.68925 i
-15 -75  4.26439 i
-15 -60  4.3368 i
-15 -45  4.95579 i
-15 -30  5.89293 i
-15 -15  6.76367 i
-15  0  7.17835 i
-15  15  6.91025 i
-15  30  6.09624 i
-15  45  5.1902 i
-15  60  4.6576 i
-15  75  4.68713 i
-15  90  5.15634 i
-15  105  5.74021 i
-15  120  6.06932 i
-15  135  5.94249 i
-15  150  5.45497 i
-15  165  4.92567 i
-15  180  4.67384 i
-15  195  4.82946 o
-15  210  5.26728 o
-15  225  5.66296 o
-15  240  5.70052 o
-15  255  5.29897 o

# IsoCurve 19, 35 points
# x y z type
-30 -255  4.01569 o
-30 -240  4.32285 o
-30 -225  4.17176 o
-30 -210  3.66641 o
-30 -195  3.11531 o
-30 -180  2.82956 i
-30 -165  2.94993 i
-30 -150  3.36489 i
-30 -135  3.76676 i
-30 -120  3.8333 i
-30 -105  3.4613 i
-30 -90  2.8548 i
-30 -75  2.39042 i
-30 -60  2.40074 i
-30 -45  2.99807 i
-30 -30  3.98592 i
-30 -15  4.92521 i
-30  0  5.41093 i
-30  15  5.23946 i
-30  30  4.49811 i
-30  45  3.58845 i
-30  60  2.99862 i
-30  75  2.98636 i
-30  90  3.44326 i
-30  105  4.01569 i
-30  120  4.32285 i
-30  135  4.17176 i
-30  150  3.66642 i
-30  165  3.11531 i
-30  180  2.82956 i
-30  195  2.94993 o
-30  210  3.36489 o
-30  225  3.76676 o
-30  240  3.8333 o
-30  255  3.4613 o

# IsoCurve 20, 35 points
# x y z type
-45 -255  2.10467 o
-45 -240  2.38014 o
-45 -225  2.23703 o
-45 -210  1.76686 o
-45 -195  1.25771 o
-45 -180  1.00042 i
-45 -165  1.13005 i
-45 -150  1.5461 i
-45 -135  1.96985 i
-45 -120  2.08716 i
-45 -105  1.77528 i
-45 -90  1.20296 i
-45 -75  0.715673 i
-45 -60  0.629695 i
-45 -45  1.08742 i
-45 -30  1.97633 i
-45 -15  2.92428 i
-45  0  3.47308 i
-45  15  3.38889 i
-45  30  2.7564 i
-45  45  1.92037 i
-45  60  1.31655 i
-45  75  1.22709 i
-45  90  1.59658 i
-45  105  2.10467 i
-45  120  2.38014 i
-45  135  2.23703 i
-45  150  1.76686 i
-45  165  1.25771 i
-45  180  1.00042 i
-45  195  1.13005 o
-45  210  1.5461 o
-45  225  1.96985 o
-45  240  2.08716 o
-45  255  1.77528 o

# IsoCurve 21, 35 points
# x y z type
-60 -255  1.10491 o
-60 -240  1.32083 o
-60 -225  1.16709 o
-60 -210  0.739334 o
-60 -195  0.313891 o
-60 -180  0.153639 i
-60 -165  0.366566 i
-60 -150  0.846607 i
-60 -135  1.31125 i
-60 -120  1.46389 i
-60 -105  1.18317 i
-60 -90  0.628796 i
-60 -75  0.135174 i
-60 -60  7.9e-05 i
-60 -45  0.344156 i
-60 -30  1.05798 i
-60 -15  1.84136 i
-60  0  2.31911 i
-60  15  2.26102 i
-60  30  1.71852 i
-60  45  0.99782 i
-60  60  0.47339 i
-60  75  0.38138 i
-60  90  0.681827 i
-60  105  1.10491 i
-60  120  1.32083 i
-60  135  1.16709 i
-60  150  0.739334 i
-60  165  0.313891 i
-60  180  0.153639 i
-60  195  0.366566 o
-60  210  0.846607 o
-60  225  1.31125 o
-60  240  1.46389 o
-60  255  1.18317 o

# IsoCurve 22, 35 points
# x y z type
-75 -255  1.51316 o
-75 -240  1.69194 o
-75 -225  1.50458 o
-75 -210  1.07911 o
-75 -195  0.705957 o
-75 -180  0.644117 i
-75 -165  0.974867 i
-75 -150  1.55926 i
-75 -135  2.09876 i
-75 -120  2.28776 i
-75 -105  2.01344 i
-75 -90  1.44967 i
-75 -75  0.944593 i
-75 -60  0.805596 i
-75 -45  1.12688 i
-75 -30  1.75647 i
-75 -15  2.37074 i
-75  0  2.64717 i
-75  15  2.44204 i
-75  30  1.85696 i
-75  45  1.19758 i
-75  60  0.779575 i
-75  75  0.77056 i
-75  90  1.10431 i
-75  105  1.51316 i
-75  120  1.69194 i
-75  135  1.50458 i
-75  150  1.07911 i
-75  165  0.705957 i
-75  180  0.644117 i
-75  195  0.974867 o
-75  210  1.55926 o
-75  225  2.09876 o
-75  240  2.28776 o
-75  255  2.01344 o

# IsoCurve 23, 35 points
# x y z type
-90 -255  3.00813 o
-90 -240  3.20612 o
-90 -225  2.99808 o
-90 -210  2.53082 o
-90 -195  2.13104 o
-90 -180  2.08401 i
-90 -165  2.46973 i
-90 -150  3.12559 i
-90 -135  3.7268 i
-90 -120  3.94925 i
-90 -105  3.6826 i
-90 -90  3.11397 i
-90 -75  2.6107 i
-90 -60  2.49661 i
-90 -45  2.85826 i
-90 -30  3.50679 i
-90 -15  4.07962 i
-90  0  4.24399 i
-90  15  3.88519 i
-90  30  3.17312 i
-90  45  2.45941 i
-90  60  2.06901 i
-90  75  2.13199 i
-90  90  2.54134 i
-90  105  3.00813 i
-90  120  3.20612 i
-90  135  2.99808 i
-90  150  2.53082 i
-90  165  2.13104 i
-90  180  2.08401 i
-90  195  2.46973 o
-90  210  3.12559 o
-90  225  3.7268 o
-90  240  3.94925 o
-90  255  3.6826 o

# IsoCurve 24, 35 points
# x y z type
-105 -255  4.6959 o
-105 -240  4.92124 o
-105 -225  4.69492 o
-105 -210  4.16187 o
-105 -195  3.67349 o
-105 -180  3.55136 i
-105 -165  3.89922 i
-105 -150  4.55099 i
-105 -135  5.16204 i
-105 -120  5.38806 i
-105 -105  5.12012 i
-105 -90  4.55193 i
-105 -75  4.06258 i
-105 -60  3.98141 i
-105 -45  4.40591 i
-105 -30  5.1366 i
-105 -15  5.77653 i
-105  0  5.96292 i
-105  15  5.5761 i
-105  30  4.80532 i
-105  45  4.03805 i
-105  60  3.62987 i
-105  75  3.71712 i
-105  90  4.17675 i
-105  105  4.6959 i
-105  120  4.92124 i
-105  135  4.69492 i
-105  150  4.16187 i
-105  165  3.67349 i
-105  180  3.55136 i
-105  195  3.89922 o
-105  210  4.55099 o
-105  225  5.16204 o
-105  240  5.38806 o
-105  255  5.12012 o

# IsoCurve 25, 35 points
# x y z type
-120 -255  5.61138 o
-120 -240  5.84164 o
-120 -225  5.58477 o
-120 -210  4.98141 o
-120 -195  4.38808 o
-120 -180  4.14732 i
-120 -165  4.39184 i
-120 -150  4.97263 i
-120 -135  5.53972 i
-120 -120  5.74448 i
-120 -105  5.4667 i
-120 -90  4.90126 i
-120 -75  4.42194 i
-120 -60  4.3538 i
-120 -45  4.8068 i
-120 -30  5.60404 i
-120 -15  6.34881 i
-120  0  6.64927 i
-120  15  6.35184 i
-120  30  5.62789 i
-120  45  4.87325 i
-120  60  4.47123 i
-120  75  4.57813 i
-120  90  5.06842 i
-120  105  5.61138 i
-120  120  5.84164 i
-120  135  5.58477 i
-120  150  4.98141 i
-120  165  4.38808 i
-120  180  4.14732 i
-120  195  4.39185 o
-120  210  4.97263 o
-120  225  5.53972 o
-120  240  5.74448 o
-120  255  5.46671 o

# IsoCurve 26, 35 points
# x y z type
-135 -255  5.26322 o
-135 -240  5.48857 o
-135 -225  5.21339 o
-135 -210  4.57434 o
-135 -195  3.91688 o
-135 -180  3.58056 i
-135 -165  3.71491 i
-135 -150  4.1989 i
-135 -135  4.70171 i
-135 -120  4.87687 i
-135 -105  4.59557 i
-135 -90  4.03955 i
-135 -75  3.56645 i
-135 -60  3.48726 i
-135 -45  3.91486 i
-135 -30  4.70146 i
-135 -15  5.48254 i
-135  0  5.87175 i
-135  15  5.69332 i
-135  30  5.08312 i
-135  45  4.40943 i
-135  60  4.05544 i
-135  75  4.19478 i
-135  90  4.70846 i
-135  105  5.26322 i
-135  120  5.48857 i
-135  135  5.21339 i
-135  150  4.57434 i
-135  165  3.91688 i
-135  180  3.58056 i
-135  195  3.71491 o
-135  210  4.19891 o
-135  225  4.70171 o
-135  240  4.87687 o
-135  255  4.59558 o

# IsoCurve 27, 35 points
# x y z type
-150 -255  3.93246 o
-150 -240  4.16552 o
-150 -225  3.90888 o
-150 -210  3.29503 o
-150 -195  2.65022 o
-150 -180  2.2942 i
-150 -165  2.37466 i
-150 -150  2.79192 i
-150 -135  3.24412 i
-150 -120  3.40036 i
-150 -105  3.12557 i
-150 -90  2.58235 i
-150 -75  2.10969 i
-150 -60  2.00271 i
-150 -45  2.37637 i
-150 -30  3.09797 i
-150 -15  3.83292 i
-150  0  4.21759 i
-150  15  4.08218 i
-150  30  3.55088 i
-150  45  2.96246 i
-150  60  2.67122 i
-150  75  2.84475 i
-150  90  3.3733 i
-150  105  3.93246 i
-150  120  4.16552 i
-150  135  3.90888 i
-150  150  3.29503 i
-150  165  2.65022 i
-150  180  2.2942 i
-150  195  2.37466 o
-150  210  2.79192 o
-150  225  3.24412 o
-150  240  3.40036 o
-150  255  3.12557 o

# IsoCurve 28, 35 points
# x y z type
-165 -255  2.45878 o
-165 -240  2.70788 o
-165 -225  2.49504 o
-165 -210  1.94923 o
-165 -195  1.37984 o
-165 -180  1.08342 i
-165 -165  1.19128 i
-165 -150  1.60663 i
-165 -135  2.04731 i
-165 -120  2.20115 i
-165 -105  1.93403 i
-165 -90  1.39486 i
-165 -75  0.910332 i
-165 -60  0.769474 i
-165 -45  1.08622 i
-165 -30  1.73384 i
-165 -15  2.39129 i
-165  0  2.71208 i
-165  15  2.54019 i
-165  30  2.00817 i
-165  45  1.44777 i
-165  60  1.18789 i
-165  75  1.37514 i
-165  90  1.90151 i
-165  105  2.45878 i
-165  120  2.70788 i
-165  135  2.49504 i
-165  150  1.94923 i
-165  165  1.37984 i
-165  180  1.08342 i
-165  195  1.19128 o
-165  210  1.60663 o
-165  225  2.04732 o
-165  240  2.20115 o
-165  255  1.93403 o

# IsoCurve 29, 35 points
# x y z type
-180 -255  1.66196 o
-180 -240  1.92281 o
-180 -225  1.75011 o
-180 -210  1.27364 o
-180 -195  0.796823 o
-180 -180  0.600988 i
-180 -165  0.796789 i
-180 -150  1.27352 i
-180 -135  1.74989 i
-180 -120  1.9226 i
-180 -105  1.66198 i
-180 -90  1.11494 i
-180 -75  0.607339 i
-180 -60  0.434582 i
-180 -45  0.708084 i
-180 -30  1.29643 i
-180 -15  1.88067 i
-180  0  2.12366 i
-180  15  1.88081 i
-180  30  1.29649 i
-180  45  0.708151 i
-180  60  0.43458 i
-180  75  0.606626 i
-180  90  1.11459 i
-180  105  1.66196 i
-180  120  1.92281 i
-180  135  1.75011 i
-180  150  1.27364 i
-180  165  0.796823 i
-180  180  0.600988 i
-180  195  0.796789 o
-180  210  1.27352 o
-180  225  1.74989 o
-180  240  1.9226 o
-180  255  1.66198 o

# IsoCurve 30, 35 points
# x y z type
-195 -255  1.93403 o
-195 -240  2.20127 o
-195 -225  2.04741 o
